rheaid	reactionEquation	L	R
RHEA:19849	H2O + NADP(+) = ADP-D-ribose 2'-phosphate + H(+) + nicotinamide	CHEBI:15377, CHEBI:58349	CHEBI:15378, CHEBI:17154, CHEBI:58673
RHEA:19857	a 16alpha-hydroxysteroid + NADP(+) = a 16-oxosteroid + H(+) + NADPH	CHEBI:58349, CHEBI:16799	CHEBI:15378, CHEBI:57783, CHEBI:47786
RHEA:19861	a 16alpha-hydroxysteroid + NAD(+) = a 16-oxosteroid + H(+) + NADH	CHEBI:57540, CHEBI:16799	CHEBI:57945, CHEBI:15378, CHEBI:47786
RHEA:19865	4 H(+) + uroporphyrinogen III = 4 CO2 + coproporphyrinogen III	CHEBI:15378, CHEBI:57308	CHEBI:16526, CHEBI:57309
RHEA:19869	an acyl-CoA + glycine = an N-acylglycine + CoA + H(+)	CHEBI:58342, CHEBI:57305	CHEBI:57287, CHEBI:15378, CHEBI:57670
RHEA:19873	3beta-sulfooxy-androst-5-en-17-one + H2O = 3beta-hydroxyandrost-5-en-17-one + H(+) + sulfate	CHEBI:15377, CHEBI:57905	CHEBI:15378, CHEBI:16189, CHEBI:28689
RHEA:19877	a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol) + ATP = 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol 4-phosphate) + ADP + H(+)	CHEBI:57880, CHEBI:30616	CHEBI:456216, CHEBI:15378, CHEBI:58178
RHEA:19881	GTP + L-lysyl-[protein] = diphosphate + H(+) + N(epsilon)-GMP-L-lysyl-[protein]	CHEBI:37565, GENERIC:9752	CHEBI:33019, CHEBI:15378, GENERIC:13946
RHEA:19885	(S)-reticuline + O2 = (S)-scoulerine + H(+) + H2O2	CHEBI:15379, CHEBI:57873	CHEBI:16240, CHEBI:15378, CHEBI:17129
RHEA:19889	alpha-D-glucose 1-phosphate + H(+) + UTP = diphosphate + UDP-alpha-D-glucose	CHEBI:15378, CHEBI:58601, CHEBI:46398	CHEBI:33019, CHEBI:58885
RHEA:19893	4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + ATP = 4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + ADP	CHEBI:30616, CHEBI:58354	CHEBI:456216, CHEBI:57841
RHEA:19897	H(+) + 2 L-arginine + 3 NADPH + 4 O2 = 4 H2O + 2 L-citrulline + 3 NADP(+) + 2 nitric oxide	CHEBI:15379, CHEBI:15378, CHEBI:57783, CHEBI:32682	CHEBI:15377, CHEBI:16480, CHEBI:57743, CHEBI:58349
RHEA:19901	L-tryptophan + O2 = alpha,beta-didehydrotryptophan + H2O2	CHEBI:15379, CHEBI:57912	CHEBI:16240, CHEBI:78216
RHEA:19905	NAD(+) + spermidine = dehydrospermidine + H(+) + NADH	CHEBI:57834, CHEBI:57540	CHEBI:57945, CHEBI:15378, CHEBI:58732
RHEA:19909	(S)-lactate + 2 [Fe(III)cytochrome c] = 2 [Fe(II)cytochrome c] + 2 H(+) + pyruvate	GENERIC:14399, CHEBI:16651	GENERIC:10350, CHEBI:15378, CHEBI:15361
RHEA:19913	a (3R)-hydroxyacyl-[ACP] + NAD(+) = a 3-oxoacyl-[ACP] + H(+) + NADH	CHEBI:57540, GENERIC:9945	CHEBI:57945, CHEBI:15378, GENERIC:9916
RHEA:19921	D-ribitol 5-phosphate + NADP(+) = D-ribulose 5-phosphate + H(+) + NADPH	CHEBI:57695, CHEBI:58349	CHEBI:58121, CHEBI:15378, CHEBI:57783
RHEA:19925	D-ribitol 5-phosphate + NAD(+) = D-ribulose 5-phosphate + H(+) + NADH	CHEBI:57540, CHEBI:57695	CHEBI:58121, CHEBI:57945, CHEBI:15378
RHEA:19929	[(1->4)-beta-D-glucosyl](n) + UDP-alpha-D-glucose = [(1->4)-beta-D-glucosyl](n+1) + H(+) + UDP	CHEBI:58885, POLYMER:10033	CHEBI:58223, CHEBI:15378, POLYMER:10034
RHEA:19933	alpha-D-glucose 1-phosphate + H2O = D-glucose + phosphate	CHEBI:15377, CHEBI:58601	CHEBI:43474, CHEBI:4167
RHEA:19937	glycine + S-adenosyl-L-methionine = H(+) + S-adenosyl-L-homocysteine + sarcosine	CHEBI:57305, CHEBI:59789	CHEBI:15378, CHEBI:57856, CHEBI:57433
RHEA:19941	norcoclaurine + S-adenosyl-L-methionine = coclaurine + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789, CHEBI:58482	CHEBI:15378, CHEBI:57856, CHEBI:58481
RHEA:19945	N(4)-{beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAcl-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] + UDP-N-acetyl-alpha-D-glucosamine = H(+) + N(4)-{beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-alpha-D-Man-(1->3)-[beta-D-GlcNAc-(1->2)-[beta-D-GlcNAc-(1->4)]-[beta-D-GlcNAc-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc}-L-asparaginyl-[protein] + UDP	GENERIC:14377, CHEBI:57705	GENERIC:14384, CHEBI:58223, CHEBI:15378
RHEA:19949	(7,8-dihydropterin-6-yl)methyl diphosphate + 4-aminobenzoate = 7,8-dihydropteroate + diphosphate	CHEBI:17836, CHEBI:72950	CHEBI:33019, CHEBI:17839
RHEA:19953	a 2-oxocarboxylate + L-alanine = an L-alpha-amino acid + pyruvate	CHEBI:57972, CHEBI:35179	CHEBI:15361, CHEBI:59869
RHEA:19957	2 5'-dehydroinosine + O2 = 2 9-riburonosylhypoxanthine + 2 H(+)	CHEBI:15379, CHEBI:27427	CHEBI:15378, CHEBI:58218
RHEA:19961	a 2'-deoxyribonucleoside + a ribonucleoside 5'-phosphate = a 2'-deoxyribonucleoside 5'-phosphate + a ribonucleoside	CHEBI:58043, CHEBI:18274	CHEBI:65317, CHEBI:18254
RHEA:19965	S,S-dimethyl-beta-propiothetin = acrylate + dimethyl sulfide + H(+)	CHEBI:16457	CHEBI:17437, CHEBI:15378, CHEBI:37080
RHEA:19969	hydroxylamine + O2 = H(+) + H2O + nitrite	CHEBI:15379, CHEBI:15429	CHEBI:15377, CHEBI:15378, CHEBI:16301
RHEA:19973	S-adenosyl 3-(methylsulfanyl)propylamine + spermidine = H(+) + S-methyl-5'-thioadenosine + spermine	CHEBI:57834, CHEBI:57443	CHEBI:15378, CHEBI:17509, CHEBI:45725
RHEA:19977	3'-phosphoadenylyl sulfate + L-tyrosine methyl ester = adenosine 3',5'-bisphosphate + H(+) + L-tyrosine methyl ester 4-sulfate	CHEBI:58339, CHEBI:17215	CHEBI:58343, CHEBI:15378, CHEBI:58377
RHEA:19981	NADP(+) + S-(hydroxymethyl)glutathione = H(+) + NADPH + S-formylglutathione	CHEBI:58349, CHEBI:58758	CHEBI:15378, CHEBI:57783, CHEBI:57688
RHEA:19985	NAD(+) + S-(hydroxymethyl)glutathione = H(+) + NADH + S-formylglutathione	CHEBI:57540, CHEBI:58758	CHEBI:57945, CHEBI:15378, CHEBI:57688
RHEA:19989	S-methyl-5-thio-alpha-D-ribose 1-phosphate = 5-methylsulfanyl-D-ribulose 1-phosphate	CHEBI:58533	CHEBI:58548
RHEA:19993	[thioredoxin]-disulfide + H2O + L-methionine = [thioredoxin]-dithiol + L-methionine (S)-S-oxide	GENERIC:10700, CHEBI:15377, CHEBI:57844	GENERIC:10698, CHEBI:58772
RHEA:19997	H2O + phosphoenolpyruvate = phosphate + pyruvate	CHEBI:15377, CHEBI:58702	CHEBI:15361, CHEBI:43474
RHEA:20001	glycolaldehyde + H2O + NAD(+) = glycolate + 2 H(+) + NADH	CHEBI:15377, CHEBI:57540, CHEBI:17071	CHEBI:57945, CHEBI:15378, CHEBI:29805
RHEA:20005	an alpha-D-glucuronoside + H2O = an alcohol + D-glucuronate	CHEBI:15377, CHEBI:58899	CHEBI:30879, CHEBI:58720
RHEA:20009	2-hydroxy-2-methylpropanenitrile + UDP-alpha-D-glucose = H(+) + linamarin + UDP	CHEBI:58885, CHEBI:15348	CHEBI:58223, CHEBI:15378, CHEBI:16441
RHEA:20013	carbamoyl phosphate + L-aspartate = H(+) + N-carbamoyl-L-aspartate + phosphate	CHEBI:29991, CHEBI:58228	CHEBI:15378, CHEBI:32814, CHEBI:43474
RHEA:20017	5,10-methenyl-5,6,7,8-tetrahydromethanopterin + H2 = 5,10-methylenetetrahydromethanopterin + H(+)	CHEBI:18276, CHEBI:58337	CHEBI:15378, CHEBI:57818
RHEA:20021	2-oxoglutarate + deoxyamidinoproclavaminate + O2 = amidinoproclavaminate + CO2 + succinate	CHEBI:15379, CHEBI:16810, CHEBI:57303	CHEBI:30031, CHEBI:16526, CHEBI:58647
RHEA:20025	gibberellin A3 + UDP-alpha-D-glucose = gibberellin A3 O-beta-D-glucoside + H(+) + UDP	CHEBI:58885, CHEBI:58590	CHEBI:58223, CHEBI:15378, CHEBI:59791
RHEA:20029	10-deoxysarpagine + NADP(+) = H(+) + NADPH + vellosimine	CHEBI:16060, CHEBI:58349	CHEBI:15378, CHEBI:57783, CHEBI:18057
RHEA:20033	isopenicillin N = penicillin N	CHEBI:58399	CHEBI:58408
RHEA:20037	D-sorbitol 6-phosphate + NADP(+) = aldehydo-D-glucose 6-phosphate + H(+) + NADPH	CHEBI:58349, CHEBI:60084	CHEBI:15378, CHEBI:57783, CHEBI:57584
RHEA:20041	3-oxopropanoate + H2O + NADP(+) = 2 H(+) + malonate + NADPH	CHEBI:15377, CHEBI:58349, CHEBI:33190	CHEBI:15378, CHEBI:57783, CHEBI:15792
RHEA:20045	3-oxopropanoate + H2O + NAD(+) = 2 H(+) + malonate + NADH	CHEBI:15377, CHEBI:57540, CHEBI:33190	CHEBI:57945, CHEBI:15378, CHEBI:15792
RHEA:20049	1-(5-phospho-beta-D-ribosyl)-5'-AMP + H2O = 1-(5-phospho-beta-D-ribosyl)-5-[(5-phospho-beta-D-ribosylamino)methylideneamino]imidazole-4-carboxamide	CHEBI:15377, CHEBI:59457	CHEBI:58435
RHEA:20053	NAD(+) + ribitol = D-ribulose + H(+) + NADH	CHEBI:15963, CHEBI:57540	CHEBI:57945, CHEBI:15378, CHEBI:17173
RHEA:20057	2 H(+) + H2O + N-carbamoylsarcosine = CO2 + NH4(+) + sarcosine	CHEBI:15377, CHEBI:57490, CHEBI:15378	CHEBI:28938, CHEBI:16526, CHEBI:57433
RHEA:20061	2'-deoxycytidine + a ribonucleoside 5'-triphosphate = a ribonucleoside 5'-diphosphate + dCMP + H(+)	CHEBI:15698, CHEBI:61557	CHEBI:57930, CHEBI:15378, CHEBI:57566
RHEA:20065	2'-deoxymugineate + 2-oxoglutarate + O2 = 3-epihydroxy-2'-deoxymugineate + CO2 + H(+) + succinate	CHEBI:15379, CHEBI:58487, CHEBI:16810	CHEBI:30031, CHEBI:15378, CHEBI:16526, CHEBI:58684
RHEA:20069	(Z)-phenylacetaldehyde oxime = H2O + phenylacetonitrile	CHEBI:50723	CHEBI:15377, CHEBI:25979
RHEA:20073	D-allothreonine = acetaldehyde + glycine	CHEBI:58645	CHEBI:15343, CHEBI:57305
RHEA:20077	guanosine(18) in tRNA + S-adenosyl-L-methionine = 2'-O-methylguanosine(18) in tRNA + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789, GENERIC:10190	CHEBI:15378, CHEBI:57856, GENERIC:10192
RHEA:20081	H2O + N-methylhexanamide = hexanoate + methylamine	CHEBI:15377, CHEBI:15860	CHEBI:59338, CHEBI:17120
RHEA:20085	a flavonol 3-O-beta-D-glucoside + malonyl-CoA = a flavonol 3-O-(6-O-malonyl-beta-D-glucoside) + CoA	CHEBI:57384, CHEBI:16816	CHEBI:57287, CHEBI:58034
RHEA:20089	acetyl-CoA + L-leucine = CoA + H(+) + N-acetyl-L-leucine	CHEBI:57288, CHEBI:57427	CHEBI:57287, CHEBI:15378, CHEBI:58270
RHEA:20093	an anthocyanidin + H(+) + UDP-alpha-D-glucose = an anthocyanidin 3-O-beta-D-glucoside + UDP	CHEBI:143576, CHEBI:58885, CHEBI:15378	CHEBI:58223, CHEBI:16307
RHEA:20097	D-mannonate = 2-dehydro-3-deoxy-D-gluconate + H2O	CHEBI:17767	CHEBI:15377, CHEBI:57990
RHEA:20101	a long-chain fatty acid + ATP + L-cysteinyl-[protein] = AMP + diphosphate + S-(long-chain fatty acyl)-L-cysteinyl-[protein]	GENERIC:10131, CHEBI:30616, CHEBI:57560	CHEBI:33019, CHEBI:456215, GENERIC:12762
RHEA:20105	ADP + beta-D-fructose 6-phosphate = AMP + beta-D-fructose 1,6-bisphosphate + H(+)	CHEBI:456216, CHEBI:57634	CHEBI:32966, CHEBI:456215, CHEBI:15378
RHEA:20109	alpha-D-ribose 1,5-bisphosphate + ATP = 5-phospho-alpha-D-ribose 1-diphosphate + ADP	CHEBI:30616, CHEBI:68688	CHEBI:456216, CHEBI:58017
RHEA:20113	beta-D-glucose 1-phosphate = beta-D-glucose 6-phosphate	CHEBI:57684	CHEBI:58247
RHEA:20117	ATP + L-rhamnulose = ADP + H(+) + L-rhamnulose 1-phosphate	CHEBI:30616, CHEBI:17897	CHEBI:456216, CHEBI:15378, CHEBI:58313
RHEA:20121	ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl-tRNA(Gln)	CHEBI:58359, CHEBI:30616, GENERIC:9662	CHEBI:33019, CHEBI:456215, GENERIC:9681
RHEA:20125	H(+) + NADP(+) + 2 reduced [2Fe-2S]-[ferredoxin] = NADPH + 2 oxidized [2Fe-2S]-[ferredoxin]	GENERIC:10001, CHEBI:15378, CHEBI:58349	GENERIC:10000, CHEBI:57783
RHEA:20129	AMP + H2O = adenine + D-ribose 5-phosphate	CHEBI:15377, CHEBI:456215	CHEBI:16708, CHEBI:78346
RHEA:20133	3-(indol-3-yl)lactate + NAD(+) = H(+) + indole-3-pyruvate + NADH	CHEBI:57540, CHEBI:17282	CHEBI:57945, CHEBI:15378, CHEBI:17640
RHEA:20137	10-deacetylbaccatin III + acetyl-CoA = baccatin III + CoA	CHEBI:57288, CHEBI:18193	CHEBI:57287, CHEBI:32898
RHEA:20141	an S-alkyl-L-cysteine S-oxide = 2-aminoprop-2-enoate + an S-alkyl sulfenate	CHEBI:142409	CHEBI:22326, CHEBI:76565
RHEA:20145	2-(3-amino-3-carboxypropyl)-L-histidine + S-adenosyl-L-methionine = 2-[3-carboxy-3-(methylammonio)propyl]-L-histidine + H(+) + S-adenosyl-L-homocysteine	CHEBI:59789, CHEBI:58031	CHEBI:15378, CHEBI:57856, CHEBI:57784
RHEA:20149	O2 + quinine + reduced [NADPH--hemoprotein reductase] = 3-hydroxyquinine + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]	GENERIC:11964, CHEBI:15379, CHEBI:137041	GENERIC:11965, CHEBI:15377, CHEBI:15378, CHEBI:58234
RHEA:20153	ATP + L-arabinose = ADP + beta-L-arabinose 1-phosphate + H(+)	CHEBI:17535, CHEBI:30616	CHEBI:456216, CHEBI:15378, CHEBI:57521
RHEA:20157	2n [Fe(III)cytochrome c] + a polyvinyl alcohol = 2n [Fe(II)cytochrome c] + an oxidized polyvinyl alcohol + 2n H(+)	GENERIC:14399, POLYMER:12871	GENERIC:10350, CHEBI:15378, POLYMER:12870
RHEA:20161	alpha-D-galactosyl-(1->3)-1D-myo-inositol + sucrose = myo-inositol + raffinose	CHEBI:17992, CHEBI:17505	CHEBI:17268, CHEBI:16634
RHEA:20165	H2O + N(5)-acyl-L-ornithine ester = an alcohol + H(+) + N(5)-acyl-L-ornithine	CHEBI:15377, CHEBI:83412	CHEBI:15378, CHEBI:30879, CHEBI:58111
RHEA:20169	H(+) + NADPH + O2 + tetradecanoyl-CoA = (11E)-tetradecenoyl-CoA + 2 H2O + NADP(+)	CHEBI:15379, CHEBI:57385, CHEBI:15378, CHEBI:57783	CHEBI:15377, CHEBI:58349, CHEBI:57322
RHEA:20173	H(+) + NADH + O2 + tetradecanoyl-CoA = (11E)-tetradecenoyl-CoA + 2 H2O + NAD(+)	CHEBI:15379, CHEBI:57945, CHEBI:57385, CHEBI:15378	CHEBI:15377, CHEBI:57540, CHEBI:57322
RHEA:20177	pyridoxine + UDP-alpha-D-glucose = 5'-O-beta-D-glucosylpyridoxine + H(+) + UDP	CHEBI:58885, CHEBI:16709	CHEBI:58223, CHEBI:15378, CHEBI:17382
RHEA:20181	alpha-D-mannose derivative + UDP-alpha-D-glucose = 6-(alpha-D-glucose-1-phospho)-alpha-D-mannose derivative + H(+) + UMP	CHEBI:58885, CHEBI:27535	CHEBI:57865, CHEBI:15378, CHEBI:138011
RHEA:20185	a CMP-N-acyl-beta-neuraminate + H2O = an N-acylneuraminate + CMP + H(+)	CHEBI:15377, CHEBI:68671	CHEBI:15378, CHEBI:60377, CHEBI:60073
RHEA:20189	5,6-dihydrouracil + NAD(+) = H(+) + NADH + uracil	CHEBI:15901, CHEBI:57540	CHEBI:57945, CHEBI:15378, CHEBI:17568
RHEA:20193	(R)-mevalonate + NADP(+) = H(+) + mevaldate + NADPH	CHEBI:36464, CHEBI:58349	CHEBI:58219, CHEBI:15378, CHEBI:57783
RHEA:20197	[heparosan-N-sulfate](n) = [heparan-N-sulfate](n)	POLYMER:9556	POLYMER:9557
RHEA:20201	ATP + H2O + L-phenylalanine = AMP + D-phenylalanine + diphosphate + H(+)	CHEBI:15377, CHEBI:58095, CHEBI:30616	CHEBI:33019, CHEBI:456215, CHEBI:15378, CHEBI:57981
RHEA:20205	methylazoxymethanol + UDP-alpha-D-glucose = cycasin + H(+) + UDP	CHEBI:58885, CHEBI:29323	CHEBI:58223, CHEBI:15378, CHEBI:17074
RHEA:20209	ATP + xylitol = ADP + H(+) + xylitol 5-phosphate	CHEBI:30616, CHEBI:17151	CHEBI:456216, CHEBI:15378, CHEBI:370252
RHEA:20213	[glycine-cleavage complex H protein]-N(6)-octanoyl-L-lysine + [lipoyl-carrier protein]-L-lysine = [glycine-cleavage complex H protein]-L-lysine + [lipoyl-carrier protein]-N(6)-octanoyl-L-lysine	GENERIC:10500, GENERIC:10504	GENERIC:10501, GENERIC:10503
RHEA:20217	H(+) + trimethylamine N-oxide = dimethylamine + formaldehyde	CHEBI:15378, CHEBI:15724	CHEBI:16842, CHEBI:58040
RHEA:20221	(6S)-5,6,7,8-tetrahydrofolate + ATP + formate = (6S)-10-formyltetrahydrofolate + ADP + phosphate	CHEBI:15740, CHEBI:57453, CHEBI:30616	CHEBI:456216, CHEBI:57454, CHEBI:43474
RHEA:20225	(E)-caffeate + S-adenosyl-L-methionine = H(+) + S-adenosyl-L-homocysteine + trans-ferulate	CHEBI:57770, CHEBI:59789	CHEBI:15378, CHEBI:57856, CHEBI:29749
RHEA:20229	2,3-dihydroxybenzoate + ATP + H(+) = 2,3-dihydroxybenzoyl 5'-adenylate + diphosphate	CHEBI:15378, CHEBI:36654, CHEBI:30616	CHEBI:33019, CHEBI:57417
RHEA:20233	a 7beta-hydroxysteroid + NADP(+) = a 7-oxosteroid + H(+) + NADPH	CHEBI:58349, CHEBI:35349	CHEBI:15378, CHEBI:57783, CHEBI:47789
RHEA:20237	(1S,4S)-5-oxo-1,2-campholide = [(1R)-2,2,3-trimethyl-2-oxocyclopent-3-en-1-yl]acetate + H(+)	CHEBI:66896	CHEBI:64815, CHEBI:15378
RHEA:20241	nicotinate + S-adenosyl-L-methionine = N-methylnicotinate + S-adenosyl-L-homocysteine	CHEBI:32544, CHEBI:59789	CHEBI:57856, CHEBI:18123
RHEA:20245	ATP + streptomycin = 3''-adenylylstreptomycin + diphosphate	CHEBI:58007, CHEBI:30616	CHEBI:33019, CHEBI:58605
RHEA:20249	L-alanine = D-alanine	CHEBI:57972	CHEBI:57416
RHEA:20253	(2R,3S)-2,3-dimethylmalate = dimethylmaleate + H2O	CHEBI:57422	CHEBI:15377, CHEBI:17081
RHEA:20257	3-methyloxindole + NADP(+) = 3-methyleneoxindole + H(+) + NADPH	CHEBI:58349, CHEBI:17397	CHEBI:15378, CHEBI:57783, CHEBI:17920
RHEA:20265	2-oxoglutarate + L-proline + O2 = cis-3-hydroxy-L-proline + CO2 + succinate	CHEBI:15379, CHEBI:60039, CHEBI:16810	CHEBI:30031, CHEBI:16526, CHEBI:60041
RHEA:20269	4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate = 2 5-dehydro-4-deoxy-D-glucuronate	CHEBI:60189	CHEBI:17117
RHEA:20273	(6R)-L-erythro-5,6,7,8-tetrahydrobiopterin + L-phenylalanine + O2 = (4aS,6R)-4a-hydroxy-L-erythro-5,6,7,8-tetrahydrobiopterin + L-tyrosine	CHEBI:15379, CHEBI:58095, CHEBI:59560	CHEBI:58315, CHEBI:15642
RHEA:20277	acetyl-CoA + an N-hydroxyarylamine = an N-acetoxyarylamine + CoA	CHEBI:57288, CHEBI:13792	CHEBI:57287, CHEBI:21494
RHEA:20281	3'-phosphoadenylyl sulfate + desulfoglucotropeolin = adenosine 3',5'-bisphosphate + glucotropeolin + H(+)	CHEBI:58339, CHEBI:15911	CHEBI:58343, CHEBI:15378, CHEBI:58021
RHEA:20285	beta-D-galactopyranosyl-(1->3)-N-acetyl-D-glucosamine + phosphate = alpha-D-galactose 1-phosphate + N-acetyl-D-glucosamine	CHEBI:43474, CHEBI:27707	CHEBI:58336, CHEBI:506227
RHEA:20289	acetyl-CoA + H2O = acetate + CoA + H(+)	CHEBI:15377, CHEBI:57288	CHEBI:57287, CHEBI:15378, CHEBI:30089
RHEA:20293	3-(3,5-diiodo-4-hydroxyphenyl)lactate + NAD(+) = 3-(3,5-diiodo-4-hydroxyphenyl)pyruvate + H(+) + NADH	CHEBI:57540, CHEBI:57647	CHEBI:57945, CHEBI:15378, CHEBI:58023
RHEA:20297	an anilide + H2O = a carboxylate + aniline + H(+)	CHEBI:15377, CHEBI:13248	CHEBI:15378, CHEBI:29067, CHEBI:17296
RHEA:20301	ATP + L-arginine + tRNA(Arg) = AMP + diphosphate + L-arginyl-tRNA(Arg)	CHEBI:32682, CHEBI:30616, GENERIC:9658	CHEBI:33019, CHEBI:456215, GENERIC:9673
RHEA:20305	4-hydroxybenzaldehyde + H2O + NAD(+) = 4-hydroxybenzoate + 2 H(+) + NADH	CHEBI:15377, CHEBI:57540, CHEBI:17597	CHEBI:57945, CHEBI:15378, CHEBI:17879
RHEA:20309	2 H2O2 = 2 H2O + O2	CHEBI:16240	CHEBI:15379, CHEBI:15377
RHEA:20313	1D-myo-inositol 1,3,4,5,6-pentakisphosphate + ATP = 1D-myo-inositol hexakisphosphate + ADP + H(+)	CHEBI:57733, CHEBI:30616	CHEBI:58130, CHEBI:456216, CHEBI:15378
RHEA:20317	L-proline + NADP(+) = 1-pyrroline-2-carboxylate + H(+) + NADPH	CHEBI:60039, CHEBI:58349	CHEBI:15378, CHEBI:57783, CHEBI:39785
RHEA:20321	L-proline + NAD(+) = 1-pyrroline-2-carboxylate + H(+) + NADH	CHEBI:60039, CHEBI:57540	CHEBI:57945, CHEBI:15378, CHEBI:39785
RHEA:20325	N-hydroxy-4-acetylaminobiphenyl = N-acetoxy-4-aminobiphenyl	CHEBI:16434	CHEBI:16395
RHEA:20329	ATP + L-seryl-[low-density-lipoprotein receptor] = ADP + H(+) + O-phospho-L-seryl-[low-density-lipoprotein receptor]	GENERIC:15831, CHEBI:30616	GENERIC:15832, CHEBI:456216, CHEBI:15378
RHEA:20333	[acetyl-CoA carboxylase]-L-serine + ATP = [acetyl-CoA carboxylase]-O-phospho-L-serine + ADP + H(+)	CHEBI:30616, GENERIC:13722	CHEBI:456216, CHEBI:15378, GENERIC:13723
RHEA:20337	(R)-2-O-sulfolactate + H2O = (R)-lactate + H(+) + sulfate	CHEBI:15377, CHEBI:58737	CHEBI:16004, CHEBI:15378, CHEBI:16189
RHEA:20341	sn-glycerol 3-phosphate + UDP-alpha-D-galactose = 1-O-alpha-D-galactosyl-sn-glycerol 3-phosphate + H(+) + UDP	CHEBI:57597, CHEBI:66914	CHEBI:58223, CHEBI:15378, CHEBI:58330
RHEA:20345	[thioredoxin]-dithiol + NADP(+) = [thioredoxin]-disulfide + H(+) + NADPH	GENERIC:10698, CHEBI:58349	GENERIC:10700, CHEBI:15378, CHEBI:57783
RHEA:20349	H(+) + NADH + O2 + toluene = 2-hydroxytoluene + H2O + NAD(+)	CHEBI:15379, CHEBI:17578, CHEBI:57945, CHEBI:15378	CHEBI:15377, CHEBI:57540, CHEBI:28054
RHEA:20353	A + chloride + H(+) + trichloroethene = AH2 + tetrachloroethene	CHEBI:15378, CHEBI:13193, CHEBI:17996, CHEBI:16602	CHEBI:17499, CHEBI:17300
RHEA:20357	3-phenylpropanoate + H(+) + NADH + O2 = 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate + NAD(+)	CHEBI:15379, CHEBI:57945, CHEBI:15378, CHEBI:51057	CHEBI:57540, CHEBI:60087
RHEA:20361	4-hydroxy-3-all-trans-hexaprenylbenzoate + 2 H(+) + O2 + 2 reduced [2Fe-2S]-[ferredoxin] = 3,4-dihydroxy-5-all-trans-hexaprenylbenzoate + H2O + 2 oxidized [2Fe-2S]-[ferredoxin]	CHEBI:84492, GENERIC:10001, CHEBI:15379, CHEBI:15378	GENERIC:10000, CHEBI:15377, CHEBI:58373
RHEA:20365	phosphoethanolamine + S-adenosyl-L-methionine = H(+) + N-methylethanolamine phosphate + S-adenosyl-L-homocysteine	CHEBI:58190, CHEBI:59789	CHEBI:15378, CHEBI:57856, CHEBI:57781
RHEA:20369	betaine aldehyde + H2O + O2 = betaine + H(+) + H2O2	CHEBI:15379, CHEBI:15710, CHEBI:15377	CHEBI:16240, CHEBI:15378, CHEBI:17750
RHEA:20373	ATP + CoA + propanoate = AMP + diphosphate + propanoyl-CoA	CHEBI:57287, CHEBI:17272, CHEBI:30616	CHEBI:33019, CHEBI:456215, CHEBI:57392
RHEA:20377	3alpha-hydroxy-5alpha-androstan-17-one + NADP(+) = 5alpha-androstan-3,17-dione + H(+) + NADPH	CHEBI:58349, CHEBI:16032	CHEBI:15378, CHEBI:57783, CHEBI:15994
RHEA:20381	3alpha-hydroxy-5alpha-androstan-17-one + NAD(+) = 5alpha-androstan-3,17-dione + H(+) + NADH	CHEBI:57540, CHEBI:16032	CHEBI:57945, CHEBI:15378, CHEBI:15994
RHEA:20385	(2R,3R)-dihydroquercetin + H(+) + NADH + O2 = (2R,3R)-2,3-dihydrogossypetin + H2O + NAD(+)	CHEBI:15379, CHEBI:57945, CHEBI:15378, CHEBI:17948	CHEBI:15377, CHEBI:57540, CHEBI:16965
RHEA:20389	(2R,3R)-dihydroquercetin + H(+) + NADPH + O2 = (2R,3R)-2,3-dihydrogossypetin + H2O + NADP(+)	CHEBI:15379, CHEBI:15378, CHEBI:57783, CHEBI:17948	CHEBI:15377, CHEBI:58349, CHEBI:16965
RHEA:20393	holo-[citrate lyase ACP] + S-acetylphosphopantotheine = acetyl-[citrate lyase ACP] + D-pantetheine 4'-phosphate	GENERIC:10158, CHEBI:58555	GENERIC:13710, CHEBI:61723
RHEA:20397	L-cysteine + O-succinyl-L-homoserine = H(+) + L,L-cystathionine + succinate	CHEBI:35235, CHEBI:57661	CHEBI:58161, CHEBI:30031, CHEBI:15378
RHEA:20401	a beta-lactam + H2O = a substituted beta-amino acid	CHEBI:15377, CHEBI:35627	CHEBI:140347
